time;latitude;longitude;depth;mag;magType;nst;gap;dmin;rms;net;id;updated;place;type;horizontalError;depthError;magError;magNst;status;locationSource;magSource
2024-09-15T22:22:48.018Z;51.6088;-130.6121;3.766;6.5;mww;172;40;0.775;0.58;us;us7000ne51;2024-11-21T22:58:58.040Z;271 km WNW of Port McNeill, Canada;earthquake;4.9;3.358;0.025;150;reviewed;us;us
2024-09-11T16:46:05.054Z;-3.2871;146.4088;8;6.3;mww;145;79;1.562;1.21;us;us7000nd4f;2024-11-21T22:58:55.040Z;168 km SW of Lorengau, Papua New Guinea;earthquake;7.41;1.799;0.047;43;reviewed;us;us
2024-09-05T01:03:15.672Z;-3.5428;144.1953;7;6.2;mww;91;77;3.5;0.97;us;us6000nps8;2024-11-15T16:19:55.040Z;59 km NNE of Angoram, Papua New Guinea;earthquake;7.6;1.85;0.047;44;reviewed;us;us
2024-09-01T20:13:34.201Z;-6.8295;155.5297;39;6.4;mww;111;34;5.084;0.72;us;us6000np3z;2024-11-09T21:19:03.040Z;56 km S of Panguna, Papua New Guinea;earthquake;8.15;1.941;0.031;103;reviewed;us;us
2024-08-28T21:57:54.957Z;13.0471;-89.583;26.358;6.1;mww;224;33;0.617;0.97;us;us6000nncs;2025-01-06T00:57:06.367Z;56 km SSW of La Libertad, El Salvador;earthquake;5.91;3.155;0.037;72;reviewed;us;us
2024-08-25T23:29:07.544Z;-19.8125;-175.0711;96;6.9;mww;276;13;1.56;0.53;us;us7000n9dt;2024-11-02T21:29:06.040Z;75 km W of Pangai, Tonga;earthquake;9.43;1.841;0.033;86;reviewed;us;us
2024-08-17T19:10:26.820Z;52.9308;160.1331;29;7;mww;146;63;0.902;0.99;us;us7000n7n8;2024-10-26T15:49:19.040Z;102 km E of Petropavlovsk-Kamchatsky, Russia;earthquake;6.98;1.868;0.03;105;reviewed;us;us
2024-08-15T23:35:53.943Z;23.7491;121.7669;14;6.1;mww;146;17;0.451;0.61;us;us7000n7b8;2024-10-26T15:48:52.040Z;30 km SSE of Hualien City, Taiwan;earthquake;3.34;1.036;0.045;48;reviewed;us;us
2024-08-10T03:28:32.681Z;47.223;144.7915;402.166;6.5;mww;157;17;1.405;0.75;us;us6000nj9s;2024-10-24T17:57:54.040Z;151 km E of Dolinsk, Russia;earthquake;7.67;3.081;0.053;34;reviewed;us;us
2024-08-08T07:42:55.206Z;31.7599;131.5021;24;7.1;mww;252;34;5.748;0.74;us;us6000nith;2024-10-24T17:57:27.040Z;2024 Hyuganada Sea, Japan Earthquake;earthquake;6.71;1.855;0.031;99;reviewed;us;us
2024-08-03T04:20:26.565Z;8.2038;126.8354;15;6.3;mww;134;25;1.679;0.97;us;us6000nht0;2024-10-11T19:39:09.040Z;44 km E of Barcelona, Philippines;earthquake;7.54;1.761;0.05;39;reviewed;us;us
2024-08-02T22:23:02.111Z;8.1851;126.6161;32;6.8;mww;259;18;1.511;0.69;us;us6000nhqc;2024-11-14T13:47:51.769Z;20 km E of Barcelona, Philippines;earthquake;7.5;1.761;0.048;42;reviewed;us;us
2024-07-22T05:04:27.743Z;-15.5073;168.1241;4;6.1;mww;196;26;6.203;0.54;us;us7000n0s8;2024-10-08T21:49:16.005Z;99 km NE of Norsup, Vanuatu;earthquake;7.46;1.834;0.039;63;reviewed;us;us
2024-07-21T02:53:48.910Z;14.6445;-89.9316;272;6.2;mww;138;29;0.56;1.04;us;us7000n0ka;2024-10-08T16:17:55.257Z;6 km E of Jalapa, Guatemala;earthquake;7.64;1.867;0.025;155;reviewed;us;us
2024-07-19T01:50:48.571Z;-23.0791;-67.8404;127.291;7.4;mww;119;19;0.336;1.06;us;us7000n05d;2024-12-13T23:46:54.384Z;41 km ESE of San Pedro de Atacama, Chile;earthquake;7.08;3.027;0.026;144;reviewed;us;us
2024-07-11T15:08:47.169Z;48.7877;-128.7103;10;6.4;mww;149;60;0.904;0.88;us;us7000mykj;2025-01-30T15:18:49.988Z;209 km WSW of Tofino, Canada;earthquake;4.64;1.34;0.041;58;reviewed;us;us
2024-07-11T02:13:18.585Z;6.0838;123.1503;639.503;7.1;mww;401;17;2.604;0.84;us;us7000myfa;2024-10-08T21:28:11.485Z;106 km WSW of Sangay, Philippines;earthquake;8.06;4.43;0.055;32;reviewed;us;us
2024-07-10T04:55:41.780Z;-53.3092;25.3481;4;6.6;mww;107;23;18.352;0.76;us;us7000my76;2024-09-20T16:00:53.040Z;south of Africa;earthquake;8.92;1.712;0.05;38;reviewed;us;us
2024-07-07T20:01:12.295Z;26.8957;138.8289;546;6.2;mww;158;32;3;0.82;us;us7000mxmu;2024-10-09T00:27:25.515Z;Bonin Islands, Japan region;earthquake;8.5;1.93;0.034;84;reviewed;us;us
2024-06-29T07:05:32.855Z;-16.0485;-74.556;18;6.1;mww;138;89;4.606;0.71;us;us6000n948;2024-09-04T21:57:44.040Z;34 km SW of Atiquipa, Peru;earthquake;7.96;1.856;0.059;28;reviewed;us;us
2024-06-28T05:36:36.902Z;-15.8277;-74.454;24;7.2;mww;105;46;4.675;0.93;us;us6000n8tq;2024-09-04T21:57:43.040Z;10 km WSW of Atiquipa, Peru;earthquake;8.89;1.881;0.041;56;reviewed;us;us
2024-06-24T08:03:37.383Z;-14.6255;167.2426;149;6.3;mww;209;32;6.532;0.46;us;us7000mu8s;2024-10-08T23:22:11.860Z;49 km NNE of Port-Olry, Vanuatu;earthquake;6.07;1.925;0.033;90;reviewed;us;us
2024-06-09T09:55:49.381Z;-53.8559;-133.9509;10;6.2;mww;91;58;29.452;0.61;us;us7000mrbr;2024-08-16T21:59:22.040Z;Pacific-Antarctic Ridge;earthquake;7.38;1.769;0.062;25;reviewed;us;us
2024-05-31T15:54:40.923Z;-28.9579;-176.8653;16;6.2;mww;175;52;0.972;0.8;us;us7000mp9e;2024-10-09T02:53:15.828Z;Kermadec Islands region;earthquake;6.75;1.721;0.041;56;reviewed;us;us
2024-05-31T15:46:09.810Z;-43.3059;41.7226;10;6.2;mww;208;16;7.849;0.68;us;us7000mp99;2024-08-06T20:32:48.040Z;Prince Edward Islands region;earthquake;9.52;1.704;0.048;41;reviewed;us;us
2024-05-26T20:47:12.057Z;-19.3431;-174.841;137;6.6;mww;190;21;2.026;0.93;us;us6000n158;2024-08-06T02:09:38.040Z;70 km NW of Fangale’ounga, Tonga;earthquake;8.13;1.893;0.043;53;reviewed;us;us
2024-05-25T22:23:15.997Z;-17.1173;167.8706;22;6.3;mww;280;28;4.815;0.72;us;us6000n102;2024-10-09T04:49:04.635Z;83 km NW of Port-Vila, Vanuatu;earthquake;8.23;1.836;0.039;64;reviewed;us;us
2024-05-12T11:39:12.718Z;14.4264;-92.4617;61.91;6.4;mww;267;30;0.515;1.05;us;us6000my20;2024-10-08T21:11:23.868Z;28 km WSW of Brisas Barra de Suchiate, Mexico;earthquake;3.41;3.065;0.029;111;reviewed;us;us
2024-05-08T08:17:15.894Z;-15.1324;168.0214;19.175;6.1;mww;110;18;6.456;1.03;us;us6000mx5c;2024-10-09T02:25:02.692Z;101 km ENE of Luganville, Vanuatu;earthquake;7.33;2.73;0.045;48;reviewed;us;us
2024-05-05T18:33:11.021Z;-3.3167;130.9618;16;6.1;mww;101;28;1.344;0.6;us;us6000mwjd;2024-11-10T00:12:54.992Z;154 km WSW of Fakfak, Indonesia;earthquake;5.17;1.722;0.039;63;reviewed;us;us
2024-04-27T16:29:50.643Z;-8.005;107.2798;59.701;6.1;mww;232;19;0.652;0.64;us;us6000muc0;2025-01-09T08:28:51.597Z;91 km S of Banjar, Indonesia;earthquake;7.14;3.11;0.044;50;reviewed;us;us
2024-04-27T08:35:34.207Z;27.8209;139.6186;496;6.5;mww;217;24;2.392;0.63;us;us6000mu8k;2024-10-09T04:19:09.040Z;Bonin Islands, Japan region;earthquake;9.42;1.953;0.035;77;reviewed;us;us
2024-04-22T18:32:48.439Z;23.8586;121.5662;10;6.1;mww;120;22;0.526;0.65;us;us6000mt0s;2024-07-02T22:12:10.040Z;13 km SSW of Hualien City, Taiwan;earthquake;2.83;1.821;0.065;23;reviewed;us;us
2024-04-22T18:26:52.852Z;23.7141;121.6599;9;6.1;mww;119;35;0.462;0.76;us;us6000mt0r;2024-07-02T22:12:10.040Z;29 km S of Hualien City, Taiwan;earthquake;2.91;1.823;0.059;28;reviewed;us;us
2024-04-17T14:14:46.694Z;33.2503;132.3647;32;6.3;mww;386;29;1.351;0.81;us;us7000mcpi;2024-10-09T05:55:03.233Z;18 km W of Uwajima, Japan;earthquake;4.97;1.826;0.037;69;reviewed;us;us
2024-04-14T20:56:28.201Z;-5.8565;151.0953;49;6.5;mww;107;42;5.257;0.81;us;us7000mc2t;2024-06-17T02:15:36.040Z;111 km ESE of Kimbe, Papua New Guinea;earthquake;7.55;1.938;0.073;18;reviewed;us;us
2024-04-09T09:47:59.810Z;2.6982;127.0624;22;6.4;mww;267;23;1.937;0.48;us;us7000maxr;2024-10-09T06:30:56.317Z;150 km NW of Tobelo, Indonesia;earthquake;6.59;1.763;0.041;58;reviewed;us;us
2024-04-05T11:03:16.357Z;19.1103;145.3659;222;6.8;mww;199;31;3.869;0.85;us;us7000ma2w;2025-01-31T11:13:27.773Z;Maug Islands region, Northern Mariana Islands;earthquake;8.22;1.918;0.027;136;reviewed;us;us
2024-04-04T03:16:30.313Z;37.7104;141.856;29;6.1;mww;304;59;2.7;0.64;us;us7000m9sq;2024-06-12T21:51:53.040Z;77 km E of Minami-Sōma, Japan;earthquake;6.43;1.705;0.046;45;reviewed;us;us
2024-04-03T00:11:25.266Z;24.1021;121.6812;13.931;6.4;mww;183;50;0.63;0.77;us;us7000m9gc;2024-06-12T21:51:51.040Z;15 km NNE of Hualien City, Taiwan;earthquake;3.79;3.485;0.062;25;reviewed;us;us
2024-04-02T23:58:12.173Z;23.8356;121.5976;40;7.4;mww;322;17;0.337;0.93;us;us7000m9g4;2025-01-30T03:33:06.675Z;15 km S of Hualien City, Taiwan;earthquake;4.73;1.877;0.027;133;reviewed;us;us
2024-04-02T09:54:08.569Z;15.8146;146.8779;10;6.2;mww;247;37;1.195;0.43;us;us7000m9bq;2025-01-28T10:04:17.048Z;137 km ENE of Saipan, Northern Mariana Islands;earthquake;5.68;1.806;0.044;49;reviewed;us;us
2024-03-27T01:28:17.689Z;-21.0715;173.7373;10;6.4;mww;81;43;5.247;0.79;us;us7000m86i;2024-06-01T21:55:47.040Z;Vanuatu region;earthquake;9.36;1.74;0.043;53;reviewed;us;us
2024-03-23T20:22:04.348Z;-4.1292;143.134;41.464;6.9;mww;147;32;2.909;0.76;us;us6000mksx;2024-10-09T09:07:01.269Z;36 km ENE of Ambunti, Papua New Guinea;earthquake;8.06;2.476;0.047;44;reviewed;us;us
2024-03-22T08:52:58.999Z;-5.8754;112.3646;9.471;6.4;mww;208;39;2.239;0.62;us;us6000mkfz;2024-10-09T09:41:03.704Z;110 km N of Paciran, Indonesia;earthquake;5.96;3.096;0.038;65;reviewed;us;us
2024-03-14T21:10:24.786Z;29.7971;-42.6608;10;6.2;mww;189;54;16.297;0.59;us;us6000miy6;2024-05-18T21:22:58.040Z;northern Mid-Atlantic Ridge;earthquake;9.43;1.776;0.037;71;reviewed;us;us
2024-03-05T19:52:52.612Z;-59.1953;158.7607;10;6.1;mww;77;41;4.71;1.18;us;us6000mgyj;2024-05-15T17:35:05.040Z;Macquarie Island region;earthquake;11.98;1.775;0.05;38;reviewed;us;us
2024-03-03T16:16:53.995Z;-58.8881;159.1441;23.187;6.8;mww;49;58;4.403;0.57;us;us6000mghc;2024-05-10T21:25:58.040Z;Macquarie Island region;earthquake;10.52;3.009;0.037;72;reviewed;us;us
2024-02-23T01:51:13.973Z;-35.0892;-110.7745;10;6.3;mww;98;38;7.986;0.86;us;us7000m0zq;2024-05-02T15:50:12.040Z;southern East Pacific Rise;earthquake;9.49;1.767;0.057;30;reviewed;us;us
2024-02-12T11:19:34.858Z;22.0086;142.7919;236;6.1;mww;168;23;5.095;0.89;us;us7000lym6;2025-01-27T11:29:44.000Z;Volcano Islands, Japan region;earthquake;5.68;1.86;0.034;81;reviewed;us;us
2024-02-09T10:57:48.482Z;-29.9268;-177.2323;13;6.1;mww;210;26;0.893;0.74;us;us7000lxyv;2024-04-20T19:34:37.040Z;Kermadec Islands, New Zealand;earthquake;6.62;1.373;0.041;56;reviewed;us;us
2024-01-28T09:38:56.538Z;-8.236;-71.4005;621.081;6.5;mww;237;40;6.526;0.86;us;us7000lui3;2024-03-30T22:34:43.040Z;70 km W of Tarauacá, Brazil;earthquake;7.28;2.996;0.062;25;reviewed;us;us
2024-01-27T05:52:48.419Z;14.0636;-90.6159;90;6.1;mww;134;57;0.479;0.84;us;us7000luai;2024-09-15T05:04:21.428Z;15 km W of Taxisco, Guatemala;earthquake;7.28;1.935;0.033;87;reviewed;us;us
2024-01-23T14:33:45.022Z;-17.9827;168.0499;31;6.3;mww;248;38;4.339;0.71;us;us7000lt73;2024-06-18T21:50:31.741Z;39 km SW of Port-Vila, Vanuatu;earthquake;7.83;1.092;0.052;36;reviewed;us;us
2024-01-22T18:09:04.340Z;41.2555;78.6538;13;7;mww;121;29;0.428;0.64;us;us7000lsze;2024-11-05T07:53:05.477Z;128 km WNW of Aykol, China;earthquake;4.68;1.811;0.054;33;reviewed;us;us
2024-01-20T22:09:39.708Z;-39.93;46.1966;10;6.2;mww;102;18;7.701;0.62;us;us6000m53t;2024-03-29T17:37:55.040Z;Southwest Indian Ridge;earthquake;8.37;1.776;0.075;17;reviewed;us;us
2024-01-20T21:31:05.092Z;-7.2879;-71.464;607;6.6;mww;185;36;7.065;0.69;us;us6000m52p;2024-03-29T17:37:55.040Z;123 km NW of Tarauacá, Brazil;earthquake;9.42;1.919;0.073;18;reviewed;us;us
2024-01-20T15:48:40.121Z;18.5192;145.6341;184;6.1;mww;302;10;3.263;1.01;us;us6000m50e;2025-01-19T15:58:46.837Z;Pagan region, Northern Mariana Islands;earthquake;6.38;1.758;0.034;82;reviewed;us;us
2024-01-18T22:12:21.755Z;-18.9103;-175.4225;209;6.4;mww;121;22;1.372;0.7;us;us6000m4js;2024-03-29T17:37:53.040Z;148 km NW of Fangale’ounga, Tonga;earthquake;9.77;1.878;0.038;66;reviewed;us;us
2024-01-11T09:20:26.337Z;36.4979;70.6013;204;6.4;mww;140;17;3.122;1.02;us;us6000m31m;2024-03-16T19:00:18.040Z;45 km SSW of Jurm, Afghanistan;earthquake;6.09;1.879;0.039;62;reviewed;us;us
2024-01-08T20:48:42.361Z;4.9225;126.1575;62.574;6.7;mww;138;22;2.209;0.76;us;us6000m2jp;2024-03-16T19:00:03.040Z;93 km SE of Sarangani, Philippines;earthquake;7.15;3.404;0.06;27;reviewed;us;us
2024-01-01T07:18:41.584Z;37.1895;136.8272;10;6.2;mb;185;32;1.278;0.4;us;us6000m0xm;2025-01-04T22:53:01.431Z;8 km SW of Anamizu, Japan;earthquake;1.95;1.794;0.024;672;reviewed;us;us
2024-01-01T07:10:09.476Z;37.4874;137.271;10;7.5;mww;282;36;0.957;0.55;us;us6000m0xl;2024-11-27T14:17:10.012Z;2024 Noto Peninsula, Japan Earthquake;earthquake;4.03;1.807;0.034;82;reviewed;us;us
2023-12-30T17:16:23.833Z;-2.9934;139.372;33;6.3;mww;190;15;1.412;0.81;us;us6000m0n6;2024-05-23T16:43:01.175Z;146 km WSW of Abepura, Indonesia;earthquake;6.56;1.732;0.073;18;reviewed;us;us
2023-12-28T09:15:16.131Z;44.596;149.0388;31;6.5;mww;156;34;4.647;0.9;us;us6000m05c;2024-03-02T21:39:32.040Z;115 km SE of Kuril’sk, Russia;earthquake;7.66;1.777;0.048;42;reviewed;us;us
2023-12-22T17:36:32.014Z;-52.0879;27.9516;10;6.1;mww;284;19;16.565;0.8;us;us7000lkxb;2024-02-27T22:57:04.040Z;south of Africa;earthquake;9.31;1.668;0.065;23;reviewed;us;us
2023-12-21T14:55:56.291Z;51.2097;-175.3313;20;6.1;mww;126;52;0.862;0.69;us;usd0010b4f;2024-12-20T15:06:01.478Z;116 km SE of Adak, Alaska;earthquake;3.85;1.771;0.028;122;reviewed;us;us
2023-12-20T12:11:21.484Z;-15.8585;-72.5207;93;6.2;mww;184;70;3.253;0.79;us;us7000lkb1;2024-02-27T22:57:02.040Z;11 km E of Iray, Peru;earthquake;8.73;1.939;0.04;60;reviewed;us;us
2023-12-11T06:33:32.480Z;-18.8139;-175.6541;248;6.2;mww;233;47;2.382;0.54;us;us7000li15;2024-02-17T22:43:06.040Z;174 km NW of Fangale’ounga, Tonga;earthquake;9.3;1.888;0.05;39;reviewed;us;us
2023-12-07T12:56:30.184Z;-20.6152;169.3089;48;7.1;mww;146;20;2.637;1.08;us;us7000lgwp;2024-02-10T23:47:40.040Z;118 km S of Isangel, Vanuatu;earthquake;8.5;1.836;0.05;39;reviewed;us;us
2023-12-03T19:49:35.739Z;8.9705;126.6121;20;6.9;mww;151;25;2.148;0.93;us;us7000lfxx;2024-09-07T03:07:28.915Z;34 km ENE of Aras-asan, Philippines;earthquake;7.86;1.721;0.05;39;reviewed;us;us
2023-12-03T10:35:52.871Z;8.488;126.7454;19;6.6;mww;135;32;1.822;0.83;us;us7000lftp;2024-03-28T07:02:03.497Z;47 km ENE of Hinatuan, Philippines;earthquake;7.74;1.835;0.052;35;reviewed;us;us
2023-12-02T18:09:25.972Z;8.4402;126.9387;46.378;6.3;mww;225;15;1.916;0.71;us;us7000lfkh;2024-02-06T21:53:58.040Z;63 km ENE of Barcelona, Philippines;earthquake;5.84;3.655;0.098;10;reviewed;us;us
2023-12-02T17:40:15.233Z;8.423;126.722;36.091;6.1;mb;275;13;1.758;0.81;us;us7000lfjr;2024-02-06T21:53:58.040Z;41 km NE of Barcelona, Philippines;earthquake;8.06;4.454;0.03;416;reviewed;us;us
2023-12-02T16:03:41.167Z;8.4377;126.757;35;6.4;mww;125;65;1.792;0.96;us;us7000lfi0;2024-02-06T21:53:58.040Z;47 km NE of Barcelona, Philippines;earthquake;7.37;1.771;0.065;23;reviewed;us;us
2023-12-02T14:37:04.454Z;8.5266;126.4161;40;7.6;mww;128;43;1.668;0.98;us;us7000lff4;2025-01-05T07:59:29.443Z;19 km E of Gamut, Philippines;earthquake;8.48;1.895;0.028;124;reviewed;us;us
2023-11-27T21:46:42.183Z;-3.5605;144.0313;10;6.5;mww;248;15;3.482;0.5;us;us7000le6w;2024-02-06T21:53:53.040Z;44 km E of Wewak, Papua New Guinea;earthquake;6.08;1.578;0.093;11;reviewed;us;us
2023-11-24T09:05:03.893Z;20.1319;145.5195;22.163;6.9;mww;328;33;4.871;0.42;us;us6000lqf9;2024-11-23T09:15:09.121Z;Maug Islands region, Northern Mariana Islands;earthquake;8.03;3.827;0.058;29;reviewed;us;us
2023-11-22T04:47:31.590Z;-14.9603;167.9718;13;6.7;mww;120;23;6.575;0.55;us;us6000lq00;2024-02-01T15:13:42.040Z;97 km E of Port-Olry, Vanuatu;earthquake;8.25;1.738;0.047;44;reviewed;us;us
2023-11-17T08:14:10.513Z;5.5627;125.0013;52;6.7;mww;244;21;1.604;1.02;us;us6000lp12;2025-01-05T08:02:53.702Z;32 km SW of Kablalan, Philippines;earthquake;6.69;1.896;0.038;66;reviewed;us;us
2023-11-14T07:00:56.463Z;-4.033;87.1044;9;6.1;mww;132;54;12.583;0.86;us;usd00103xy;2024-01-26T16:38:00.040Z;South Indian Ocean;earthquake;8.47;1.813;0.043;52;reviewed;us;us
2023-11-13T07:43:34.115Z;-3.8855;151.067;10;6.1;mww;120;50;1.135;0.58;us;us7000lali;2024-01-26T16:37:58.040Z;126 km WNW of Rabaul, Papua New Guinea;earthquake;4.13;1.813;0.048;41;reviewed;us;us
2023-11-10T20:45:11.772Z;-6.0976;130.0606;9.969;6.1;mww;186;37;1.572;0.75;us;us7000la7r;2024-01-13T23:11:25.040Z;Banda Sea;earthquake;6.43;2.746;0.043;51;reviewed;us;us
2023-11-08T13:02:06.115Z;-6.131;129.8738;10;6.7;mww;179;28;1.598;0.42;us;us7000l9ku;2024-01-13T23:10:38.040Z;Banda Sea;earthquake;6.55;1.807;0.039;64;reviewed;us;us
2023-11-08T04:53:49.631Z;-6.416;129.5466;6;7.1;mww;142;53;5.771;0.7;us;us7000l9h4;2024-01-13T23:10:31.040Z;Banda Sea;earthquake;3.56;1.73;0.045;47;reviewed;us;us
2023-11-08T04:52:51.393Z;-6.4442;129.7518;10;6.7;mwb;106;29;5.74;0.82;us;us7000l9h2;2024-01-13T23:10:31.040Z;Banda Sea;earthquake;3.62;1.723;0.034;85;reviewed;us;us
2023-11-01T21:04:48.023Z;-10.0561;123.7541;51;6.1;mww;258;13;6.023;0.88;us;us7000l85t;2024-01-10T06:01:35.040Z;20 km NE of Kupang, Indonesia;earthquake;2.65;1.839;0.054;33;reviewed;us;us
2023-10-31T12:33:43.732Z;-28.7431;-71.5573;34;6.6;mww;169;32;0.685;0.52;us;us7000l7si;2024-01-10T06:01:24.040Z;80 km WSW of Vallenar, Chile;earthquake;4.65;1.868;0.069;20;reviewed;us;us
2023-10-31T11:10:56.943Z;-17.5412;-179.0263;560;6.5;mww;113;27;2.793;0.71;us;us7000l7qy;2024-01-10T06:01:23.040Z;185 km ENE of Levuka, Fiji;earthquake;10.25;1.963;0.052;36;reviewed;us;us
2023-10-16T11:35:30.449Z;52.5592;-176.924;174;6.4;mww;173;29;0.613;1.04;us;us6000lfvn;2024-10-15T11:45:33.903Z;78 km NNW of Adak, Alaska;earthquake;6.09;1.891;0.04;61;reviewed;us;us
2023-10-15T03:36:00.454Z;34.6529;62.1244;9;6.3;mww;125;21;5.708;0.92;us;us6000lfn5;2023-12-26T21:24:17.040Z;34 km NNW of Herāt, Afghanistan;earthquake;7.28;1.739;0.063;24;reviewed;us;us
2023-10-11T20:04:58.206Z;-52.0446;139.6131;10;6.3;mww;112;35;10.516;0.95;us;us6000lews;2023-12-16T22:13:07.040Z;west of Macquarie Island;earthquake;5.49;1.743;0.052;35;reviewed;us;us
2023-10-11T00:41:55.908Z;34.5364;62.0509;8;6.3;mww;423;21;4.645;0.7;us;us6000len8;2023-12-16T22:13:06.040Z;24 km NNW of Herāt, Afghanistan;earthquake;7.87;1.746;0.044;49;reviewed;us;us
2023-10-07T08:40:11.361Z;-5.4749;146.1439;52;6.9;mww;272;18;4.032;0.6;us;us6000ldqf;2023-12-14T21:26:55.040Z;48 km SE of Madang, Papua New Guinea;earthquake;1.83;1.929;0.052;35;reviewed;us;us
2023-10-07T08:34:26.985Z;-5.5729;146.138;55;6.7;mww;249;19;3.94;0.73;us;us6000ldqd;2023-12-14T21:26:55.040Z;54 km SE of Madang, Papua New Guinea;earthquake;5.46;1.931;0.054;33;reviewed;us;us
2023-10-07T07:12:49.702Z;34.5442;61.8891;8;6.3;mww;244;43;5.904;0.5;us;us6000ldpm;2023-12-14T21:26:55.040Z;25 km NNE of Zindah Jān, Afghanistan;earthquake;5.86;1.446;0.051;37;reviewed;us;us
